Fecha, Precipitación(mm), Temperatura Media(ºC), Temperatura Máxima(ºC), Temperatura Mínima(ºC), Evaporación(mm),Clave,Latitud,Longitud
2014/01/02,1.40,-,20.00,11.00,-,ELCJL,19.845833,-104.285278
2014/01/03,0.00,-,28.00,12.00,-,ELCJL,19.845833,-104.285278
2014/01/04,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/05,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/06,0.00,-,29.00,11.00,-,ELCJL,19.845833,-104.285278
2014/01/07,0.00,-,25.00,11.00,-,ELCJL,19.845833,-104.285278
2014/01/08,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/09,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/10,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/11,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/12,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/13,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/14,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/15,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/16,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/17,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/18,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/19,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/20,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/21,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/22,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/23,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/24,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/25,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/26,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/27,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/28,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/29,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/30,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/01/31,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/01,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/02,-,-,30.00,10.00,-,ELCJL,19.845833,-104.285278
2014/02/03,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/04,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/05,-,-,30.00,11.00,-,ELCJL,19.845833,-104.285278
2014/02/06,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/07,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/08,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/09,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/10,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/11,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/12,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/13,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/14,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/15,-,-,-,-,-,ELCJL,19.845833,-104.285278
2014/02/16,-,-,-,-,-,ELCJL,19.845833,-104.285278
